,from,to,value,study
214,prazosin,amlodipine,0,CCAE
215,propranolol,amlodipine,208340,CCAE
216,quinapril,amlodipine,191920,CCAE
217,ramipril,amlodipine,218554,CCAE
218,spironolactone,amlodipine,189545,CCAE
219,telmisartan,amlodipine,191478,CCAE
220,terazosin,amlodipine,183779,CCAE
221,torsemide,amlodipine,0,CCAE
222,trandolapril,amlodipine,0,CCAE
223,triamterene,amlodipine,0,CCAE
224,valsartan,amlodipine,228862,CCAE
225,verapamil,amlodipine,193680,CCAE
226,co-amilozide,amlodipine,0,CCAE
227,azilsartan,atenolol,0,CCAE
228,benazepril,atenolol,106189,CCAE
229,betaxolol,atenolol,0,CCAE
230,bisoprolol,atenolol,92948,CCAE
231,bumetanide,atenolol,0,CCAE
232,candesartan,atenolol,94948,CCAE
233,captopril,atenolol,0,CCAE
234,carvedilol,atenolol,105533,CCAE
235,chlorthalidone,atenolol,104103,CCAE
236,clonidine,atenolol,108688,CCAE
237,diltiazem,atenolol,108607,CCAE
238,doxazosin,atenolol,94980,CCAE
239,enalapril,atenolol,122776,CCAE
240,eplerenone,atenolol,0,CCAE
241,eprosartan,atenolol,0,CCAE
242,felodipine,atenolol,92662,CCAE
243,fosinopril,atenolol,94323,CCAE
244,furosemide,atenolol,119477,CCAE
245,guanfacine,atenolol,0,CCAE
246,hydralazine,atenolol,91562,CCAE
247,hydrochlorothiazide,atenolol,375370,CCAE
248,indapamide,atenolol,92578,CCAE
249,irbesartan,atenolol,106446,CCAE
250,isradipine,atenolol,0,CCAE
251,labetalol,atenolol,127313,CCAE
252,lisinopril,atenolol,728027,CCAE
253,losartan,atenolol,191185,CCAE
254,methyldopa,atenolol,99126,CCAE
255,metolazone,atenolol,0,CCAE
256,metoprolol,atenolol,265921,CCAE
257,minoxidil,atenolol,0,CCAE
258,moexipril,atenolol,0,CCAE
259,nadolol,atenolol,93432,CCAE
260,nebivolol,atenolol,76516,CCAE
261,nicardipine,atenolol,0,CCAE
262,nifedipine,atenolol,116953,CCAE
263,nisoldipine,atenolol,0,CCAE
264,olmesartan,atenolol,124885,CCAE
265,penbutolol,atenolol,0,CCAE
266,perindopril,atenolol,0,CCAE
267,pindolol,atenolol,0,CCAE
268,prazosin,atenolol,0,CCAE
269,propranolol,atenolol,118326,CCAE
270,quinapril,atenolol,102218,CCAE
271,ramipril,atenolol,128541,CCAE
272,spironolactone,atenolol,99531,CCAE
273,telmisartan,atenolol,101505,CCAE
274,terazosin,atenolol,94269,CCAE
275,torsemide,atenolol,0,CCAE
276,trandolapril,atenolol,0,CCAE
277,triamterene,atenolol,0,CCAE
278,valsartan,atenolol,137873,CCAE
279,verapamil,atenolol,103692,CCAE
280,co-amilozide,atenolol,0,CCAE
281,benazepril,azilsartan,0,CCAE
282,betaxolol,azilsartan,0,CCAE
283,bisoprolol,azilsartan,0,CCAE
284,bumetanide,azilsartan,0,CCAE
285,candesartan,azilsartan,0,CCAE
286,captopril,azilsartan,0,CCAE
287,carvedilol,azilsartan,0,CCAE
288,chlorthalidone,azilsartan,0,CCAE
289,clonidine,azilsartan,0,CCAE
290,diltiazem,azilsartan,0,CCAE
291,doxazosin,azilsartan,0,CCAE
292,enalapril,azilsartan,0,CCAE
293,eplerenone,azilsartan,0,CCAE
294,eprosartan,azilsartan,0,CCAE
295,felodipine,azilsartan,0,CCAE
296,fosinopril,azilsartan,0,CCAE
297,furosemide,azilsartan,0,CCAE
298,guanfacine,azilsartan,0,CCAE
299,hydralazine,azilsartan,0,CCAE
300,hydrochlorothiazide,azilsartan,0,CCAE
301,indapamide,azilsartan,0,CCAE
302,irbesartan,azilsartan,0,CCAE
303,isradipine,azilsartan,0,CCAE
304,labetalol,azilsartan,0,CCAE
305,lisinopril,azilsartan,0,CCAE
306,losartan,azilsartan,0,CCAE
307,methyldopa,azilsartan,0,CCAE
308,metolazone,azilsartan,0,CCAE
309,metoprolol,azilsartan,0,CCAE
310,minoxidil,azilsartan,0,CCAE
311,moexipril,azilsartan,0,CCAE
312,nadolol,azilsartan,0,CCAE
313,nebivolol,azilsartan,0,CCAE
314,nicardipine,azilsartan,0,CCAE
315,nifedipine,azilsartan,0,CCAE
316,nisoldipine,azilsartan,0,CCAE
317,olmesartan,azilsartan,0,CCAE
318,penbutolol,azilsartan,0,CCAE
319,perindopril,azilsartan,0,CCAE
320,pindolol,azilsartan,0,CCAE
321,prazosin,azilsartan,0,CCAE
322,propranolol,azilsartan,0,CCAE
323,quinapril,azilsartan,0,CCAE
324,ramipril,azilsartan,0,CCAE
325,spironolactone,azilsartan,0,CCAE
326,telmisartan,azilsartan,0,CCAE
327,terazosin,azilsartan,0,CCAE
328,torsemide,azilsartan,0,CCAE
329,trandolapril,azilsartan,0,CCAE
330,triamterene,azilsartan,0,CCAE
331,valsartan,azilsartan,0,CCAE
332,verapamil,azilsartan,0,CCAE
333,co-amilozide,azilsartan,0,CCAE
334,betaxolol,benazepril,0,CCAE
335,bisoprolol,benazepril,33192,CCAE
336,bumetanide,benazepril,0,CCAE
337,candesartan,benazepril,33879,CCAE
338,captopril,benazepril,0,CCAE
339,carvedilol,benazepril,45789,CCAE
340,chlorthalidone,benazepril,44402,CCAE
341,clonidine,benazepril,47429,CCAE
342,diltiazem,benazepril,46721,CCAE
343,doxazosin,benazepril,34790,CCAE
344,enalapril,benazepril,59330,CCAE
345,eplerenone,benazepril,0,CCAE
346,eprosartan,benazepril,0,CCAE
347,felodipine,benazepril,0,CCAE
348,fosinopril,benazepril,33281,CCAE
349,furosemide,benazepril,57334,CCAE
350,guanfacine,benazepril,0,CCAE
351,hydralazine,benazepril,32115,CCAE
352,hydrochlorothiazide,benazepril,295602,CCAE
353,indapamide,benazepril,0,CCAE
354,irbesartan,benazepril,44205,CCAE
355,isradipine,benazepril,0,CCAE
356,labetalol,benazepril,67032,CCAE
357,lisinopril,benazepril,651236,CCAE
358,losartan,benazepril,128072,CCAE
359,methyldopa,benazepril,39030,CCAE
360,metolazone,benazepril,0,CCAE
361,metoprolol,benazepril,192987,CCAE
362,minoxidil,benazepril,0,CCAE
363,moexipril,benazepril,0,CCAE
364,nadolol,benazepril,33465,CCAE
365,nebivolol,benazepril,45661,CCAE
366,nicardipine,benazepril,0,CCAE
367,nifedipine,benazepril,55542,CCAE
368,nisoldipine,benazepril,0,CCAE
369,olmesartan,benazepril,68125,CCAE
370,penbutolol,benazepril,0,CCAE
371,perindopril,benazepril,0,CCAE
372,pindolol,benazepril,0,CCAE
373,prazosin,benazepril,0,CCAE
374,propranolol,benazepril,57190,CCAE
375,quinapril,benazepril,38257,CCAE
376,ramipril,benazepril,61407,CCAE
377,spironolactone,benazepril,39672,CCAE
378,telmisartan,benazepril,40815,CCAE
379,terazosin,benazepril,34348,CCAE
380,torsemide,benazepril,0,CCAE
381,trandolapril,benazepril,0,CCAE
382,triamterene,benazepril,0,CCAE
383,valsartan,benazepril,73624,CCAE
384,verapamil,benazepril,41997,CCAE
385,co-amilozide,benazepril,0,CCAE
386,bisoprolol,betaxolol,0,CCAE
387,bumetanide,betaxolol,0,CCAE
388,candesartan,betaxolol,0,CCAE
389,captopril,betaxolol,0,CCAE
390,carvedilol,betaxolol,0,CCAE
391,chlorthalidone,betaxolol,0,CCAE
392,clonidine,betaxolol,0,CCAE
393,diltiazem,betaxolol,0,CCAE
394,doxazosin,betaxolol,0,CCAE
395,enalapril,betaxolol,0,CCAE
396,eplerenone,betaxolol,0,CCAE
397,eprosartan,betaxolol,0,CCAE
398,felodipine,betaxolol,0,CCAE
399,fosinopril,betaxolol,0,CCAE
400,furosemide,betaxolol,0,CCAE
401,guanfacine,betaxolol,0,CCAE
402,hydralazine,betaxolol,0,CCAE
403,hydrochlorothiazide,betaxolol,0,CCAE
404,indapamide,betaxolol,0,CCAE
405,irbesartan,betaxolol,0,CCAE
406,isradipine,betaxolol,0,CCAE
407,labetalol,betaxolol,0,CCAE
408,lisinopril,betaxolol,0,CCAE
409,losartan,betaxolol,0,CCAE
410,methyldopa,betaxolol,0,CCAE
411,metolazone,betaxolol,0,CCAE
412,metoprolol,betaxolol,0,CCAE
413,minoxidil,betaxolol,0,CCAE
414,moexipril,betaxolol,0,CCAE
415,nadolol,betaxolol,0,CCAE
416,nebivolol,betaxolol,0,CCAE
417,nicardipine,betaxolol,0,CCAE
418,nifedipine,betaxolol,0,CCAE
419,nisoldipine,betaxolol,0,CCAE
420,olmesartan,betaxolol,0,CCAE
421,penbutolol,betaxolol,0,CCAE
422,perindopril,betaxolol,0,CCAE
423,pindolol,betaxolol,0,CCAE
424,prazosin,betaxolol,0,CCAE
425,propranolol,betaxolol,0,CCAE
426,quinapril,betaxolol,0,CCAE
427,ramipril,betaxolol,0,CCAE
428,spironolactone,betaxolol,0,CCAE
429,telmisartan,betaxolol,0,CCAE
430,terazosin,betaxolol,0,CCAE
431,torsemide,betaxolol,0,CCAE
432,trandolapril,betaxolol,0,CCAE
433,triamterene,betaxolol,0,CCAE
434,valsartan,betaxolol,0,CCAE
435,verapamil,betaxolol,0,CCAE
436,co-amilozide,betaxolol,0,CCAE
437,bumetanide,bisoprolol,0,CCAE
438,candesartan,bisoprolol,7673,CCAE
439,captopril,bisoprolol,0,CCAE
440,carvedilol,bisoprolol,18253,CCAE
441,chlorthalidone,bisoprolol,16834,CCAE
442,clonidine,bisoprolol,21408,CCAE
443,diltiazem,bisoprolol,21323,CCAE
444,doxazosin,bisoprolol,7700,CCAE
445,enalapril,bisoprolol,35493,CCAE
446,eplerenone,bisoprolol,0,CCAE
447,eprosartan,bisoprolol,0,CCAE
448,felodipine,bisoprolol,5396,CCAE
449,fosinopril,bisoprolol,7061,CCAE
450,furosemide,bisoprolol,32193,CCAE
451,guanfacine,bisoprolol,0,CCAE
452,hydralazine,bisoprolol,4307,CCAE
453,hydrochlorothiazide,bisoprolol,288085,CCAE
454,indapamide,bisoprolol,5326,CCAE
455,irbesartan,bisoprolol,19180,CCAE
456,isradipine,bisoprolol,0,CCAE
457,labetalol,bisoprolol,40029,CCAE
458,lisinopril,bisoprolol,640743,CCAE
459,losartan,bisoprolol,103905,CCAE
460,methyldopa,bisoprolol,11864,CCAE
461,metolazone,bisoprolol,0,CCAE
462,metoprolol,bisoprolol,178635,CCAE
463,minoxidil,bisoprolol,0,CCAE
464,moexipril,bisoprolol,0,CCAE
465,nadolol,bisoprolol,6177,CCAE
466,nebivolol,bisoprolol,0,CCAE
467,nicardipine,bisoprolol,0,CCAE
468,nifedipine,bisoprolol,29673,CCAE
469,nisoldipine,bisoprolol,0,CCAE
470,olmesartan,bisoprolol,43258,CCAE
471,penbutolol,bisoprolol,0,CCAE
472,perindopril,bisoprolol,0,CCAE
473,pindolol,bisoprolol,0,CCAE
474,prazosin,bisoprolol,0,CCAE
475,propranolol,bisoprolol,31046,CCAE
476,quinapril,bisoprolol,14960,CCAE
477,ramipril,bisoprolol,41259,CCAE
478,spironolactone,bisoprolol,12251,CCAE
479,telmisartan,bisoprolol,14226,CCAE
480,terazosin,bisoprolol,7027,CCAE
481,torsemide,bisoprolol,0,CCAE
482,trandolapril,bisoprolol,0,CCAE
483,triamterene,bisoprolol,0,CCAE
484,valsartan,bisoprolol,53460,CCAE
485,verapamil,bisoprolol,16412,CCAE
486,co-amilozide,bisoprolol,0,CCAE
487,candesartan,bumetanide,0,CCAE
488,captopril,bumetanide,0,CCAE
489,carvedilol,bumetanide,0,CCAE
490,chlorthalidone,bumetanide,0,CCAE
491,clonidine,bumetanide,0,CCAE
492,diltiazem,bumetanide,0,CCAE
493,doxazosin,bumetanide,0,CCAE
494,enalapril,bumetanide,0,CCAE
495,eplerenone,bumetanide,0,CCAE
496,eprosartan,bumetanide,0,CCAE
497,felodipine,bumetanide,0,CCAE
498,fosinopril,bumetanide,0,CCAE
499,furosemide,bumetanide,0,CCAE
500,guanfacine,bumetanide,0,CCAE
501,hydralazine,bumetanide,0,CCAE
502,hydrochlorothiazide,bumetanide,0,CCAE
503,indapamide,bumetanide,0,CCAE
504,irbesartan,bumetanide,0,CCAE
505,isradipine,bumetanide,0,CCAE
506,labetalol,bumetanide,0,CCAE
507,lisinopril,bumetanide,0,CCAE
508,losartan,bumetanide,0,CCAE
509,methyldopa,bumetanide,0,CCAE
510,metolazone,bumetanide,0,CCAE
511,metoprolol,bumetanide,0,CCAE
512,minoxidil,bumetanide,0,CCAE
513,moexipril,bumetanide,0,CCAE
514,nadolol,bumetanide,0,CCAE
515,nebivolol,bumetanide,0,CCAE
516,nicardipine,bumetanide,0,CCAE
517,nifedipine,bumetanide,0,CCAE
518,nisoldipine,bumetanide,0,CCAE
519,olmesartan,bumetanide,0,CCAE
520,penbutolol,bumetanide,0,CCAE
521,perindopril,bumetanide,0,CCAE
522,pindolol,bumetanide,0,CCAE
523,prazosin,bumetanide,0,CCAE
524,propranolol,bumetanide,0,CCAE
525,quinapril,bumetanide,0,CCAE
526,ramipril,bumetanide,0,CCAE
527,spironolactone,bumetanide,0,CCAE
528,telmisartan,bumetanide,0,CCAE
529,terazosin,bumetanide,0,CCAE
530,torsemide,bumetanide,0,CCAE
531,trandolapril,bumetanide,0,CCAE
532,triamterene,bumetanide,0,CCAE
533,valsartan,bumetanide,0,CCAE
534,verapamil,bumetanide,0,CCAE
535,co-amilozide,bumetanide,0,CCAE
536,captopril,candesartan,0,CCAE
537,carvedilol,candesartan,20256,CCAE
538,chlorthalidone,candesartan,18834,CCAE
539,clonidine,candesartan,23411,CCAE
540,diltiazem,candesartan,23325,CCAE
541,doxazosin,candesartan,9703,CCAE
542,enalapril,candesartan,37495,CCAE
543,eplerenone,candesartan,0,CCAE
544,eprosartan,candesartan,0,CCAE
545,felodipine,candesartan,7401,CCAE
546,fosinopril,candesartan,9066,CCAE
547,furosemide,candesartan,34198,CCAE
548,guanfacine,candesartan,0,CCAE
549,hydralazine,candesartan,6305,CCAE
550,hydrochlorothiazide,candesartan,290062,CCAE
551,indapamide,candesartan,7330,CCAE
552,irbesartan,candesartan,21183,CCAE
553,isradipine,candesartan,0,CCAE
554,labetalol,candesartan,42028,CCAE
555,lisinopril,candesartan,642667,CCAE
556,losartan,candesartan,105881,CCAE
557,methyldopa,candesartan,13867,CCAE
558,metolazone,candesartan,0,CCAE
559,metoprolol,candesartan,180616,CCAE
560,minoxidil,candesartan,0,CCAE
561,moexipril,candesartan,0,CCAE
562,nadolol,candesartan,8181,CCAE
563,nebivolol,candesartan,0,CCAE
564,nicardipine,candesartan,0,CCAE
565,nifedipine,candesartan,31672,CCAE
566,nisoldipine,candesartan,0,CCAE
567,olmesartan,candesartan,44736,CCAE
568,penbutolol,candesartan,0,CCAE
569,perindopril,candesartan,0,CCAE
570,pindolol,candesartan,0,CCAE
571,prazosin,candesartan,0,CCAE
572,propranolol,candesartan,33041,CCAE
573,quinapril,candesartan,16966,CCAE
574,ramipril,candesartan,43261,CCAE
575,spironolactone,candesartan,14251,CCAE
576,telmisartan,candesartan,16231,CCAE
577,terazosin,candesartan,9035,CCAE
578,torsemide,candesartan,0,CCAE
579,trandolapril,candesartan,0,CCAE
580,triamterene,candesartan,0,CCAE
581,valsartan,candesartan,55204,CCAE
582,verapamil,candesartan,18415,CCAE
583,co-amilozide,candesartan,0,CCAE
584,carvedilol,captopril,0,CCAE
585,chlorthalidone,captopril,0,CCAE
586,clonidine,captopril,0,CCAE
587,diltiazem,captopril,0,CCAE
588,doxazosin,captopril,0,CCAE
589,enalapril,captopril,0,CCAE
590,eplerenone,captopril,0,CCAE
591,eprosartan,captopril,0,CCAE
592,felodipine,captopril,0,CCAE
593,fosinopril,captopril,0,CCAE
594,furosemide,captopril,0,CCAE
595,guanfacine,captopril,0,CCAE
596,hydralazine,captopril,0,CCAE
597,hydrochlorothiazide,captopril,0,CCAE
598,indapamide,captopril,0,CCAE
599,irbesartan,captopril,0,CCAE
600,isradipine,captopril,0,CCAE
601,labetalol,captopril,0,CCAE
602,lisinopril,captopril,0,CCAE
603,losartan,captopril,0,CCAE
604,methyldopa,captopril,0,CCAE
605,metolazone,captopril,0,CCAE
606,metoprolol,captopril,0,CCAE
607,minoxidil,captopril,0,CCAE
608,moexipril,captopril,0,CCAE
609,nadolol,captopril,0,CCAE
610,nebivolol,captopril,0,CCAE
611,nicardipine,captopril,0,CCAE
612,nifedipine,captopril,0,CCAE
613,nisoldipine,captopril,0,CCAE
614,olmesartan,captopril,0,CCAE
615,penbutolol,captopril,0,CCAE
616,perindopril,captopril,0,CCAE
617,pindolol,captopril,0,CCAE
618,prazosin,captopril,0,CCAE
619,propranolol,captopril,0,CCAE
620,quinapril,captopril,0,CCAE
621,ramipril,captopril,0,CCAE
622,spironolactone,captopril,0,CCAE
623,telmisartan,captopril,0,CCAE
624,terazosin,captopril,0,CCAE
625,torsemide,captopril,0,CCAE
626,trandolapril,captopril,0,CCAE
627,triamterene,captopril,0,CCAE
628,valsartan,captopril,0,CCAE
629,verapamil,captopril,0,CCAE
630,co-amilozide,captopril,0,CCAE
631,chlorthalidone,carvedilol,29420,CCAE
632,clonidine,carvedilol,33993,CCAE
633,diltiazem,carvedilol,33908,CCAE
634,doxazosin,carvedilol,20285,CCAE
635,enalapril,carvedilol,48078,CCAE
636,eplerenone,carvedilol,0,CCAE
637,eprosartan,carvedilol,0,CCAE
638,felodipine,carvedilol,17978,CCAE
639,fosinopril,carvedilol,19640,CCAE
640,furosemide,carvedilol,44778,CCAE
641,guanfacine,carvedilol,0,CCAE
642,hydralazine,carvedilol,16891,CCAE
643,hydrochlorothiazide,carvedilol,300670,CCAE
644,indapamide,carvedilol,17907,CCAE
645,irbesartan,carvedilol,31765,CCAE
646,isradipine,carvedilol,0,CCAE
647,labetalol,carvedilol,52614,CCAE
648,lisinopril,carvedilol,653328,CCAE
649,losartan,carvedilol,116490,CCAE
650,methyldopa,carvedilol,24448,CCAE
651,metolazone,carvedilol,0,CCAE
652,metoprolol,carvedilol,191220,CCAE
653,minoxidil,carvedilol,0,CCAE
654,moexipril,carvedilol,0,CCAE
655,nadolol,carvedilol,18760,CCAE
656,nebivolol,carvedilol,39991,CCAE
657,nicardipine,carvedilol,0,CCAE
658,nifedipine,carvedilol,42258,CCAE
659,nisoldipine,carvedilol,0,CCAE
660,olmesartan,carvedilol,55959,CCAE
661,penbutolol,carvedilol,0,CCAE
662,perindopril,carvedilol,0,CCAE
663,pindolol,carvedilol,0,CCAE
664,prazosin,carvedilol,0,CCAE
665,propranolol,carvedilol,43631,CCAE
666,quinapril,carvedilol,27535,CCAE
667,ramipril,carvedilol,53844,CCAE
668,spironolactone,carvedilol,24836,CCAE
669,telmisartan,carvedilol,26809,CCAE
670,terazosin,carvedilol,19592,CCAE
671,torsemide,carvedilol,0,CCAE
672,trandolapril,carvedilol,0,CCAE
673,triamterene,carvedilol,0,CCAE
674,valsartan,carvedilol,66128,CCAE
675,verapamil,carvedilol,28995,CCAE
676,co-amilozide,carvedilol,0,CCAE
677,clonidine,chlorthalidone,32574,CCAE
678,diltiazem,chlorthalidone,32487,CCAE
679,doxazosin,chlorthalidone,18866,CCAE
